GPUId,TimeStampUs,Field,Values
0,1718783836956328,power_usage_instant,71.20
0,1718783837193069,power_usage_instant,70.49
0,1718783837496481,power_usage_instant,70.49
0,1718783837947519,power_usage_instant,70.49
0,1718783836935856,throttle_reason_idle,1
0,1718783836935856,current_clock_throttle_reasons,1
0,1718783837169572,throttle_reason_idle,1
0,1718783837169572,current_clock_throttle_reasons,1
0,1718783837474492,throttle_reason_sw_power_cap,4
0,1718783837474492,current_clock_throttle_reasons,4
0,1718783837925907,throttle_reason_idle,1
0,1718783837925907,current_clock_throttle_reasons,1
1,1718783836979002,power_usage_instant,71.78
1,1718783837202776,power_usage_instant,71.20
1,1718783837510368,power_usage_instant,71.86
1,1718783837958152,power_usage_instant,72.11
1,1718783837042380,throttle_reason_idle,1
1,1718783837042380,current_clock_throttle_reasons,1
1,1718783837355959,throttle_reason_idle,1
1,1718783837355959,current_clock_throttle_reasons,1
1,1718783837676560,throttle_reason_idle,1
1,1718783837676560,current_clock_throttle_reasons,1
1,1718783838010221,throttle_reason_idle,1
1,1718783838010221,current_clock_throttle_reasons,1
2,1718783837166278,power_usage_instant,71.05
2,1718783837469530,power_usage_instant,70.73
2,1718783837922655,power_usage_instant,70.35
2,1718783838147995,power_usage_instant,71.05
2,1718783837003865,throttle_reason_idle,1
2,1718783837003865,current_clock_throttle_reasons,1
2,1718783837286199,throttle_reason_idle,1
2,1718783837286199,current_clock_throttle_reasons,1
2,1718783837539926,throttle_reason_idle,1
2,1718783837539926,current_clock_throttle_reasons,1
2,1718783837982046,throttle_reason_idle,1
2,1718783837982046,current_clock_throttle_reasons,1
3,1718783837162980,power_usage_instant,71.31
3,1718783837466212,power_usage_instant,71.31
3,1718783837903514,power_usage_instant,70.98
3,1718783838131068,power_usage_instant,71.63
3,1718783836983531,throttle_reason_idle,1
3,1718783836983531,current_clock_throttle_reasons,1
3,1718783837236542,throttle_reason_idle,1
3,1718783837236542,current_clock_throttle_reasons,1
3,1718783837514928,throttle_reason_idle,1
3,1718783837514928,current_clock_throttle_reasons,1
3,1718783837961466,throttle_reason_idle,1
3,1718783837961466,current_clock_throttle_reasons,1
4,1718783836961256,power_usage_instant,70.86
4,1718783837196114,power_usage_instant,70.86
4,1718783837501129,power_usage_instant,70.53
4,1718783837951617,power_usage_instant,71.17
4,1718783837064567,throttle_reason_idle,1
4,1718783837064567,current_clock_throttle_reasons,1
4,1718783837376331,throttle_reason_idle,1
4,1718783837376331,current_clock_throttle_reasons,1
4,1718783837699377,throttle_reason_idle,1
4,1718783837699377,current_clock_throttle_reasons,1
4,1718783838030681,throttle_reason_idle,1
4,1718783838030681,current_clock_throttle_reasons,1
5,1718783837038997,power_usage_instant,70.58
5,1718783837335279,power_usage_instant,71.24
5,1718783837560281,power_usage_instant,71.24
5,1718783838004457,power_usage_instant,71.24
5,1718783837087652,throttle_reason_idle,1
